,0
AM5,0
AM50,0
AM51,0
AM52,0
AM53,0
AM54,0
AM55,0
AM56,0
AM7,2
AM70,2
AM71,2
AM72,2
AM73,2
AM74,2
AM75,2
AM76,2
AM77,2
AM78,2
Am5,1
Am50,1
Am51,1
Am52,1
Am53,1
Am54,1
Am55,1
Am56,1
Am7,3
Am70,3
Am71,3
Am72,3
Am73,3
Am74,3
Am75,3
Am76,3
Am77,3
Am78,3
BM5,0
BM50,0
BM51,0
BM52,0
BM53,0
BM54,0
BM55,0
BM56,0
BM7,2
BM70,2
BM71,2
BM72,2
BM73,2
BM74,2
BM75,2
BM76,2
BM77,2
BM78,2
Bm5,1
Bm50,1
Bm51,1
Bm52,1
Bm53,1
Bm54,1
Bm55,1
Bm56,1
Bm7,3
Bm70,3
Bm71,3
Bm72,3
Bm73,3
Bm74,3
Bm75,3
Bm76,3
Bm77,3
Bm78,3
CM5,0
CM50,0
CM51,0
CM52,0
CM53,0
CM54,0
CM55,0
CM56,0
CM7,2
CM70,2
CM71,2
CM72,2
CM73,2
CM74,2
CM75,2
CM76,2
CM77,2
CM78,2
Cm5,1
Cm50,1
Cm51,1
Cm52,1
Cm53,1
Cm54,1
Cm55,1
Cm56,1
Cm7,3
Cm70,3
Cm71,3
Cm72,3
Cm73,3
Cm74,3
Cm75,3
Cm76,3
Cm77,3
Cm78,3
DM5,0
DM50,0
DM51,0
DM52,0
DM53,0
DM54,0
DM55,0
DM56,0
DM7,2
DM70,2
DM71,2
DM72,2
DM73,2
DM74,2
DM75,2
DM76,2
DM77,2
DM78,2
Dm5,1
Dm50,1
Dm51,1
Dm52,1
Dm53,1
Dm54,1
Dm55,1
Dm56,1
Dm7,3
Dm70,3
Dm71,3
Dm72,3
Dm73,3
Dm74,3
Dm75,3
Dm76,3
Dm77,3
Dm78,3
EM5,0
EM50,0
EM51,0
EM52,0
EM53,0
EM54,0
EM55,0
EM56,0
EM7,2
EM70,2
EM71,2
EM72,2
EM73,2
EM74,2
EM75,2
EM76,2
EM77,2
EM78,2
Em5,1
Em50,1
Em51,1
Em52,1
Em53,1
Em54,1
Em55,1
Em56,1
Em7,3
Em70,3
Em71,3
Em72,3
Em73,3
Em74,3
Em75,3
Em76,3
Em77,3
Em78,3
FM5,0
FM50,0
FM51,0
FM52,0
FM53,0
FM54,0
FM55,0
FM56,0
FM7,2
FM70,2
FM71,2
FM72,2
FM73,2
FM74,2
FM75,2
FM76,2
FM77,2
FM78,2
Fm5,1
Fm50,1
Fm51,1
Fm52,1
Fm53,1
Fm54,1
Fm55,1
Fm56,1
Fm7,3
Fm70,3
Fm71,3
Fm72,3
Fm73,3
Fm74,3
Fm75,3
Fm76,3
Fm77,3
Fm78,3
GM5,0
GM50,0
GM51,0
GM52,0
GM53,0
GM54,0
GM55,0
GM56,0
GM7,2
GM70,2
GM71,2
GM72,2
GM73,2
GM74,2
GM75,2
GM76,2
GM77,2
GM78,2
Gm5,1
Gm50,1
Gm51,1
Gm52,1
Gm53,1
Gm54,1
Gm55,1
Gm56,1
Gm7,3
Gm70,3
Gm71,3
Gm72,3
Gm73,3
Gm74,3
Gm75,3
Gm76,3
Gm77,3
Gm78,3
aM50,0
aM51,0
aM52,0
am50,1
am51,1
am52,1
bM50,0
bM51,0
bM52,0
bm50,1
bm51,1
bm52,1
dM50,0
dM51,0
dM52,0
dm50,1
dm51,1
dm52,1
eM50,0
eM51,0
eM52,0
em50,1
em51,1
em52,1
gM50,0
gM51,0
gM52,0
gm50,1
gm51,1
gm52,1
